n_var,time
25,0.0051278
100,0.015084199999999999
225,0.0156089
400,0.0417723
625,0.1054515
900,0.1505484
1225,0.3092811
1600,0.4998836
2025,0.9341486
2500,1.6682082
3025,2.4664335
3600,3.7068649999999996
4225,5.3878586
4900,6.6859341
5625,9.864907400000002
6400,12.8388033
7225,16.464353
8100,19.4522893
9025,24.9295089
10000,31.6242666
